Target,Source,Weight
jewel,lord,12
lord,direct,10
differ,lord,10
lord,thereon,10
lord,circumambul,10
left,lord,10
right,lord,10
lord,hymn,10
lord,distanc,10
join,lord,10
lord,stretch,10
prabhûtaratna,tathâgata,24
prabhûtaratna,sâkyamuni,12
tathâgata,extinct,12
time,extinct,11
tathâgata,sâkyamuni,36
tathâgata,salut,26
feet,tathâgata,14
tathâgata,produc,12
tathâgata,jewel,12
tathâgata,direct,12
tathâgata,thereon,12
tathâgata,circumambul,12
tathâgata,left,12
right,tathâgata,12
tathâgata,celebr,12
tathâgata,hymn,12
tathâgata,kept,12
tathâgata,distanc,12
join,tathâgata,12
hand,tathâgata,12
tathâgata,stretch,12
seat,sâkyamuni,14
sâkyamuni,sâkyamuni,11
throne,sâkyamuni,12
salut,sâkyamuni,12
koti,attend,10
brought,enlighten,11
enlighten,matur,10
man,hair,12
face,hear,14
produc,immens,10
singl,hear,21
singl,merit,17
mass,merit,11
sûtra,merit,12
sûtra,leader,14
produc,merit,10
merit,joyfulli,15
merit,accept,10
joyfulli,hear,10
agita,immens,12
agita,incalcul,12
agita,merit,12
produc,agita,12
agita,joyfulli,12
agita,accept,12
singl,agita,12
dharmaparyâya,agita,12
tradit,merit,11
stanza,merit,11
tradit,singl,10
tradit,hear,10
singl,joyfulli,12
stanza,hear,11
sûtra,qualiti,10
organ,organ,12
smell,organ,18
perceiv,smell,11
divin,organ,10
avalokitesvara,avalokitesvara,19
avalokitesvara,think,30
beauti,ey,14
